Date,Open,High,Low,Close,Adj Close,Volume
2021-02-03,9.440000,13.800000,9.350000,10.980000,10.980000,43527400
2021-02-04,10.370000,11.440000,10.170000,10.740000,10.740000,12170400
2021-02-05,10.750000,11.280000,10.470000,10.720000,10.720000,5618000
2021-02-08,10.850000,11.570000,10.720000,11.340000,11.340000,6616600
2021-02-09,11.250000,12.390000,11.030000,11.890000,11.890000,8279700
2021-02-10,12.260000,12.500000,11.050000,11.420000,11.420000,5766600
2021-02-11,11.600000,11.820000,10.720000,11.150000,11.150000,4508700
2021-02-12,10.910000,11.140000,10.590000,10.780000,10.780000,3720200
2021-02-16,10.830000,10.960000,10.280000,10.300000,10.300000,4191200
2021-02-17,10.190000,10.260000,9.600000,9.930000,9.930000,4883800
2021-02-18,9.600000,10.170000,9.240000,9.410000,9.410000,6957800
2021-02-19,9.580000,9.700000,9.260000,9.340000,9.340000,3231700
2021-02-22,9.150000,9.540000,9.020000,9.060000,9.060000,3390900
2021-02-23,8.920000,8.980000,8.100000,8.800000,8.800000,7923800
2021-02-24,8.810000,9.700000,8.660000,9.090000,9.090000,7481400
2021-02-25,9.380000,9.440000,8.660000,8.820000,8.820000,5120800
2021-02-26,8.840000,9.070000,8.400000,8.620000,8.620000,3497000
2021-03-01,8.960000,9.540000,8.660000,9.150000,9.150000,5903800
2021-03-02,9.100000,9.810000,8.950000,9.170000,9.170000,4782400
2021-03-03,9.190000,9.400000,8.460000,8.510000,8.510000,4471200
2021-03-04,8.500000,8.610000,7.570000,8.070000,8.070000,6439000
2021-03-05,8.210000,8.210000,6.920000,7.600000,7.600000,5687500
2021-03-08,7.660000,7.860000,7.400000,7.620000,7.620000,3419500
2021-03-09,7.920000,9.090000,7.810000,8.620000,8.620000,10526100
2021-03-10,8.780000,9.750000,8.470000,9.200000,9.200000,11188800
2021-03-11,9.300000,10.120000,9.280000,9.530000,9.530000,10123200
2021-03-12,9.240000,10.040000,9.080000,9.770000,9.770000,5943400
2021-03-15,9.790000,10.540000,9.330000,9.530000,9.530000,8694100
2021-03-16,9.570000,9.650000,8.710000,8.750000,8.750000,10662100
2021-03-17,8.200000,8.480000,7.820000,8.480000,8.480000,10438900
2021-03-18,8.360000,8.590000,8.000000,8.040000,8.040000,4361700
2021-03-19,8.050000,8.400000,7.910000,8.320000,8.320000,3851300
2021-03-22,8.380000,8.440000,8.100000,8.240000,8.240000,3704000
2021-03-23,8.280000,8.370000,7.960000,8.090000,8.090000,2688100
2021-03-24,8.200000,8.340000,7.640000,7.650000,7.650000,4239600
2021-03-25,7.500000,8.300000,7.460000,8.100000,8.100000,5365700
2021-03-26,8.200000,8.440000,8.020000,8.310000,8.310000,3402700
2021-03-29,8.190000,8.300000,7.910000,7.960000,7.960000,2057700
2021-03-30,7.970000,8.090000,7.680000,8.050000,8.050000,2276600
2021-03-31,8.090000,8.180000,7.790000,7.870000,7.870000,2783500
2021-04-01,8.000000,8.500000,7.870000,8.290000,8.290000,4892500
2021-04-05,8.360000,8.590000,8.160000,8.340000,8.340000,2053200
2021-04-06,8.410000,8.580000,8.270000,8.310000,8.310000,1422900
2021-04-07,8.310000,8.410000,7.970000,8.030000,8.030000,1883700
